Basin_ID,Area_km2,Perimeter_km,Relief_m,Avg_Slope_m_m,Watershed_Length_m,Max_Stream_Order,Mouth_Elevation_m,Form_Factor,Circularity_Ratio
1,0.4296014828809737,4.042655043673829,26.643799,3.5660412,1093.1864742136459,1,518.0337,0.359482102061579,0.3303256254164363
2,0.49149322194009704,3.8918097062233135,23.940308,4.404548,1093.6026883808574,1,519.18774,0.410958904116598,0.40777838662063287
3,0.7081143086470287,5.852799093080021,24.366333,3.058858,1281.7416287973183,1,515.2485,0.4310249307412147,0.2597682096389477
4,0.1874955624438148,2.835892344069701,12.799438,8.113309,453.5405330320265,1,543.0001,0.9115044248021942,0.2929688033678124
5,9.011619241535003,20.756318433191,54.64392,0.2678704,4848.217017870537,3,518.222,0.3833881897483963,0.26285246132362555
6,77.08980168867099,71.47052088405448,107.08032,0.05283014,13532.230886733041,4,524.77515,0.4209767686833201,0.18965002220980354
7,2.1234327533078634,8.990382112050755,35.626038,0.74477124,2402.374797427129,2,556.1135,0.3679230405267109,0.3301353840288719
8,1.09129698723366,6.184658835471157,28.022583,2.0100691,1352.23401087024,1,548.29034,0.5968143354868958,0.3585265524477489
9,0.6653361948855758,5.038234270847235,33.991333,0.04538771,1297.6206577829557,1,569.0,0.39513513512489734,0.329377780454536
10,0.21571091407370926,2.835892344069701,20.667542,9.9920225,674.6008572646862,1,571.0,0.4739999999884923,0.33705634173869675
11,0.7781976014051536,5.611446553159196,26.791016,1.9867653,1156.3060140971368,1,586.10614,0.5820285908635657,0.31056326960565067
12,0.2857942068318342,3.680626233792591,15.391724,7.536573,853.8432404152753,1,558.3917,0.39200998752006105,0.2651061793139465
13,1.4089472362282782,8.024971952367451,33.875854,0.03996494,1849.1940360552894,1,579.04126,0.41203087570280617,0.27492709750449434
14,0.48694235877398506,3.9219787737134166,33.45349,0.05163031,939.6102672109348,1,587.3907,0.551546391738537,0.39781114075042345
15,0.4805711503414282,4.012485976183726,20.940186,3.1839504,996.036229363034,1,582.0082,0.4844036697290126,0.3750943345797752
16,1.256948406480137,7.240576197624769,24.94635,1.2325253,1190.4363863273932,1,561.0331,0.8869621066372275,0.30128746212552115
17,0.946579538551298,5.128741473317545,25.970154,1.6350042,1142.049641407286,2,582.0637,0.7257501744420336,0.45221541311188707
