Basin_ID,Area_km2,Perimeter_km,Relief_m,Avg_Slope_m_m,Watershed_Length_m,Max_Stream_Order,Mouth_Elevation_m,Form_Factor,Circularity_Ratio,Peak_Flow_2yr_m3s,Peak_Flow_50yr_m3s,Design_Intensity_2yr_mmhr,Design_Intensity_50yr_mmhr,Runoff_Coefficient
1,0.4296014828809737,4.042655043673829,26.643799,3.5660412,1093.186474213646,1,518.0337,0.359482102061579,0.3303256254164363,4.4785954590341515,7.524040371177375,50,84,0.75
2,0.491493221940097,3.8918097062233135,23.940308,4.404548,1093.6026883808574,1,519.18774,0.410958904116598,0.4077783866206328,5.123816838725511,8.608012289058859,50,84,0.75
3,0.7081143086470287,5.852799093080021,24.366333,3.058858,1281.7416287973183,1,515.2485,0.4310249307412147,0.2597682096389477,7.382091667645275,12.401914001644064,50,84,0.75
4,0.1874955624438148,2.835892344069701,12.799438,8.113309,453.5405330320265,1,543.0001,0.9115044248021942,0.2929688033678124,1.9546412384767693,3.283797280640973,50,84,0.75
5,9.011619241535003,20.756318433191,54.64392,0.2678704,4848.217017870537,3,518.222,0.3833881897483963,0.2628524613236255,93.94613059300241,157.82949939624407,50,84,0.75
6,77.08980168867099,71.47052088405448,107.08032,0.05283014,13532.23088673304,4,524.77515,0.4209767686833201,0.1896500222098035,803.6611826043951,1350.150786775384,50,84,0.75
7,2.1234327533078634,8.990382112050755,35.626038,0.74477124,2402.374797427129,2,556.1135,0.3679230405267109,0.3301353840288719,22.13678645323448,37.189801241433926,50,84,0.75
8,1.09129698723366,6.184658835471157,28.022583,2.0100691,1352.23401087024,1,548.29034,0.5968143354868958,0.3585265524477489,11.376771091910905,19.112975434410323,50,84,0.75
9,0.6653361948855758,5.038234270847235,33.991333,0.04538771,1297.6206577829555,1,569.0,0.3951351351248973,0.329377780454536,6.936129831682129,11.652698117225977,50,84,0.75
10,0.2157109140737092,2.835892344069701,20.667542,9.9920225,674.6008572646862,1,571.0,0.4739999999884923,0.3370563417386967,2.2487862792184186,3.777960949086944,50,84,0.75
11,0.7781976014051536,5.611446553159196,26.791016,1.9867653,1156.3060140971368,1,586.10614,0.5820285908635657,0.3105632696056506,8.112709994648727,13.629352791009863,50,84,0.75
12,0.2857942068318342,3.680626233792591,15.391724,7.536573,853.8432404152753,1,558.3917,0.392009987520061,0.2651061793139465,2.979404606221872,5.005399738452745,50,84,0.75
13,1.4089472362282782,8.024971952367451,33.875854,0.03996494,1849.1940360552892,1,579.04126,0.4120308757028061,0.2749270975044943,14.688274937679802,24.676301895302068,50,84,0.75
14,0.486942358773985,3.9219787737134166,33.45349,0.05163031,939.6102672109348,1,587.3907,0.551546391738537,0.3978111407504234,5.076374090218794,8.528308471567575,50,84,0.75
15,0.4805711503414282,4.012485976183726,20.940186,3.1839504,996.036229363034,1,582.0082,0.4844036697290126,0.3750943345797752,5.00995424230939,8.416723127079775,50,84,0.75
16,1.256948406480137,7.240576197624769,24.94635,1.2325253,1190.4363863273932,1,561.0331,0.8869621066372275,0.3012874621255211,13.10368713755543,22.014194391093124,50,84,0.75
17,0.946579538551298,5.128741473317545,25.970154,1.6350042,1142.049641407286,2,582.0637,0.7257501744420336,0.452215413111887,9.868091689397282,16.578394038187437,50,84,0.75
